_id,name,password,email,gender,role,__v,createdAt,updatedAt
67c02d6453289925965ce6e2,Admin,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,admin@example.com,female,67bff674944192253fd83407,0,2025-02-27T05:21:56.696Z,2025-03-04T10:53:08.229Z
67c02d6453289925965ce6e3,Staff User,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,staff@example.com,female,67bff674944192253fd83408,0,2025-02-27T05:21:56.696Z,2025-03-05T05:49:33.131Z
67c02d6453289925965ce6e6,Monkey D. Luffy,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,luffy@strawhat.com,male,67bff674944192253fd83407,0,2025-02-27T05:21:56.696Z,2025-03-04T10:54:13.450Z
67c02d6453289925965ce6e7,Roronoa Zoro,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,zoro@strawhat.com,male,67bff674944192253fd83407,0,2025-02-27T05:21:56.696Z,2025-02-27T05:21:56.696Z
67c02d6453289925965ce6e8,Blackleg Sanji,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,sanji@strawhat.com,male,67bff674944192253fd83407,0,2025-02-27T05:21:56.696Z,2025-02-27T05:21:56.696Z
67c02d6453289925965ce6e9,Nami,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,nami@strawhat.com,female,67bff674944192253fd83408,0,2025-02-27T05:21:56.696Z,2025-03-05T05:57:09.379Z
67c02d6453289925965ce6ea,Usopp,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,usopp@strawhat.com,male,67bff674944192253fd83408,0,2025-02-27T05:21:56.696Z,2025-02-27T05:21:56.696Z
67c02d6453289925965ce6eb,Tony Tony Chopper,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,chopper@strawhat.com,male,67bff674944192253fd83408,0,2025-02-27T05:21:56.696Z,2025-02-27T05:21:56.696Z
67c02d6453289925965ce6ec,Nico Robin,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,robin@strawhat.com,female,67bff674944192253fd83408,0,2025-02-27T05:21:56.696Z,2025-02-27T05:21:56.696Z
67c02d6453289925965ce6ed,Franky,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,franky@strawhat.com,male,67bff674944192253fd83408,0,2025-02-27T05:21:56.696Z,2025-02-27T05:21:56.696Z
67c02d6453289925965ce6ee,Brook,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,brook@strawhat.com,male,67bff674944192253fd83408,0,2025-02-27T05:21:56.696Z,2025-02-27T05:21:56.696Z
67c02d6453289925965ce6ef,Jinbe,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,jinbe@strawhat.com,male,67bff674944192253fd83408,0,2025-02-27T05:21:56.696Z,2025-02-27T05:21:56.696Z
67c02d6453289925965ce6f0,Trafalgar Law,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,law@heart.com,female,67bff674944192253fd83409,0,2025-02-27T05:21:56.696Z,2025-03-01T17:58:32.036Z
67c02d6453289925965ce6f1,Portgas D. Ace,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,ace@whitebeard.com,male,67bff674944192253fd83409,0,2025-02-27T05:21:56.696Z,2025-03-04T10:52:53.444Z
67c02d6453289925965ce6f2,Sabo,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,sabo@revolutionary.com,male,67bff674944192253fd83409,0,2025-02-27T05:21:56.696Z,2025-03-02T17:26:00.522Z
67c02d6453289925965ce6f3,Boa Hancock,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,hancock@amazon.com,female,67bff674944192253fd83409,0,2025-02-27T05:21:56.696Z,2025-02-27T05:21:56.696Z
67c02d6453289925965ce6f4,Shanks,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,shanks@redhair.com,male,67bff674944192253fd83409,0,2025-02-27T05:21:56.696Z,2025-02-27T05:21:56.696Z
67c02d6453289925965ce6f5,Dracule MihawkS,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,mihawk@shichibukai.com,female,67bff674944192253fd83409,0,2025-02-27T05:21:56.696Z,2025-03-01T18:00:34.941Z
67c02d6453289925965ce6f6,Edward Newgate,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,whitebeard@yonko.com,male,67bff674944192253fd83409,0,2025-02-27T05:21:56.696Z,2025-02-27T05:21:56.696Z
67c02d6453289925965ce6f7,Gol D. Roger,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,roger@pirate.com,male,67bff674944192253fd83409,0,2025-02-27T05:21:56.696Z,2025-02-27T05:21:56.696Z
67c02d6453289925965ce6f9,Eustass Kid,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,kid@magnet.com,male,67bff674944192253fd83409,0,2025-02-27T05:21:56.696Z,2025-02-27T05:21:56.696Z
67c02d6453289925965ce6fa,Smoker,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,smoker@navy.com,male,67bff674944192253fd83409,0,2025-02-27T05:21:56.696Z,2025-02-27T05:21:56.696Z
67c02d6453289925965ce6fb,Akainu,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,akainu@marines.com,male,67bff674944192253fd83409,0,2025-02-27T05:21:56.696Z,2025-03-04T10:55:23.680Z
67c02d6453289925965ce6fc,Aokiji,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,aokiji@marines.com,male,67bff674944192253fd83409,0,2025-02-27T05:21:56.696Z,2025-02-27T05:21:56.696Z
67c02d6453289925965ce6fd,Kizaru,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,kizaru@marines.com,male,67bff674944192253fd83409,0,2025-02-27T05:21:56.696Z,2025-02-27T05:21:56.696Z
67c02d6453289925965ce6fe,Donquixote Doflamingo,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,doflamingo@dressrosa.com,male,67bff674944192253fd83409,0,2025-02-27T05:21:56.696Z,2025-02-27T05:21:56.696Z
67c02d6453289925965ce6ff,Charlotte Linlin,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,bigmom@wholecake.com,female,67bff674944192253fd83409,0,2025-02-27T05:21:56.696Z,2025-02-27T05:21:56.696Z
67c02d6453289925965ce700,Kaido,$2b$10$mB0q7iujR4uXBZyIdhyKcuzPstlmqMWyKb2RQWYVOTJEH0cUCPGoK,kaido@beast.com,male,67bff674944192253fd83409,0,2025-02-27T05:21:56.696Z,2025-02-27T05:21:56.696Z
